"Age","Mean_Eggs_All","Median_Eggs_All","Mean_Eggs_Adults","Median_Eggs_Adults","Max_Eggs_Simulated","Min_Eggs_Simulated","Min_Eggs_Simulated_Adults","Mean_Length_All","Median_Length_All","Mean_Length_Adult","Median_Length_Adult","Proportion_Adults"
1,0,0,0,0,0,0,0,261.150390588542,261.19447871194,NA,NA,0
2,0,0,0,0,0,0,0,337.010261191183,337.017590570891,NA,NA,0
3,0,0,0,0,0,0,0,405.553280003546,405.525520987088,NA,NA,0
4,0,0,0,0,0,0,0,467.538549730392,467.544540168589,NA,NA,0
5,0,0,0,0,0,0,0,523.59442135746,523.595924304001,NA,NA,0
6,0.00850750000000006,0,17015,17015,17015,0,17015,574.207481378183,574.210680839979,802.77145615242,802.77145615242,5e-07
7,1.438921,0,18214.1898734177,17117,48413,0,7399,620.034717877266,620.010579349864,809.997975067073,807.778274517501,7.9e-05
8,32.3220825,0,18338.770212766,17621,49583,0,5251,661.478111766867,661.457019949774,814.14843154131,810.120655521507,0.0017625
9,312.896215,0,18504.714353303,17702,63693,0,4489,698.970759038391,698.974735011034,817.068274597234,812.596095775642,0.016909
10,1473.5209075,0,18697.2497922205,17873,79880,0,4700,732.76469004862,732.790112393704,821.512005720946,816.406334834919,0.0788095
11,4173.4506045,0,18945.9447639843,18093,80325,0,4814,763.349726777622,763.365966609279,827.280625996427,821.593487026977,0.220282
12,8203.5386345,0,19277.1341027545,18388,91419,0,4670,791.057345663768,791.072575430406,834.853241469647,828.931174096968,0.425558
13,12456.735536,14666,19706.1893587166,18792,82120,0,3979,816.078731739651,816.066023117048,844.437998859949,838.875485611917,0.632123
14,16018.901916,17382,20233.243800776,19281,84467,0,4422,838.645038760228,838.650642333695,855.872397194181,851.194441849749,0.791712
15,18611.691431,18929,20837.4662230851,19836,84094,0,3792,859.104122122012,859.112929932835,868.898363230618,865.453648323367,0.893184
16,20409.856061,20043,21513.2264175008,20473,109405,0,4379,877.59809244331,877.540311611319,882.869825080283,880.600771101763,0.948712
17,21686.260755,20924,22212.6676595294,21125,105884,0,4188,894.378319877187,894.380151367048,897.102335538356,895.792342317064,0.9763015
18,22674.6016145,21703,22921.349946676,21797,107930,0,4730,909.407306655573,909.406821709706,910.774226228717,910.04569611707,0.989235
19,23466.318764,22382,23580.9575893205,22426,116905,0,4284,923.096552373162,923.071966309939,923.771237528106,923.357501255829,0.9951385
20,24172.502894,23021,24224.9377718071,23041,119415,0,4861,935.407641532422,935.389691850889,935.731844135272,935.519600215803,0.9978355
21,24814.491494,23613,24840.524363533,23623,111368,0,5540,946.696088839135,946.715828825943,946.864158217129,946.779056425898,0.998952
22,25373.9408625,24134,25386.9897752445,24139,123808,0,5099,956.673663162629,956.678413328181,956.760571503789,956.708449552031,0.999486
23,25903.270632,24639,25909.6573625399,24641,110814,0,4667,965.832243348015,965.813568265583,965.876028006075,965.829105096598,0.9997535
24,26383.258765,25096,26386.5966694787,25097,134059,0,5044,974.034056795838,974.026551213549,974.057469053485,974.034785693328,0.9998735
25,26831.8268775,25521,26833.7454903026,25522,110279,0,5203,981.547846074841,981.571980673565,981.561641443395,981.575691363768,0.9999285
26,27242.136669,25908,27243.0765551412,25908,125184,0,5459,988.329560440201,988.262745275944,988.336423949397,988.26494066057,0.9999655
27,27612.2701315,26258,27612.8223879478,26258,125308,0,5560,994.327136769957,994.338204347344,994.331229189305,994.339341317934,0.99998
28,27953.3949285,26585,27953.7443503044,26585,115796,0,5482,999.883935834881,999.862597053229,999.88655874238,999.863213577316,0.9999875
29,28254.5575245,26872,28254.8259453465,26872,159819,0,5496,1004.88871368011,1004.88909824587,1004.89075545126,1004.88983074481,0.9999905
30,28549.625877,27155,28549.7971757831,27155,119766,0,5865,1009.39743095122,1009.41902492437,1009.39873661891,1009.41928060054,0.999994
31,28816.558333,27406.5,28816.6591913072,27407,124781,0,5680,1013.42830402706,1013.42779733042,1013.42907558463,1013.4280455523,0.9999965
32,29043.700937,27612,29043.759024518,27612,143686,0,5423,1017.06585286856,1017.02977240124,1017.06633507853,1017.0298760855,0.999998
33,29258.5886475,27817,29258.6471647943,27817,129889,0,5909,1020.46506515618,1020.4854925653,1020.46551650969,1020.48564282963,0.999998
34,29462.086089,28017,29462.1302821954,28017,130169,0,5680,1023.49157532518,1023.46919558241,1023.49192959635,1023.4692519551,0.9999985
35,29632.835826,28184,29632.835826,28184,136687,4733,4733,1026.23041369004,1026.22989925608,1026.23041369004,1026.22989925608,1
36,29814.868016,28359,29814.8978308978,28359,132035,0,6026,1028.63866117033,1028.64836176438,1028.63889920584,1028.64837511431,0.999999
37,29944.2208,28473,29944.2507442507,28473,134831,0,5503,1030.86435330102,1030.86802013475,1030.86459681264,1030.86807246912,0.999999
38,30078.8451885,28608,30078.8752673753,28608,134012,0,5644,1032.88811205778,1032.86467326367,1032.88835293693,1032.86469601882,0.999999
39,30201.7177115,28721,30201.7479132479,28721,139246,0,5975,1034.74484720177,1034.73767657895,1034.74508901709,1034.73776305392,0.999999
40,30322.045542,28831,30322.0607030304,28831,150816,0,6158,1036.38084040386,1036.37001072857,1036.38096029454,1036.37001155071,0.9999995
41,30408.6773895,28921,30408.6773895,28921,128843,6005,6005,1037.83313798401,1037.85635234128,1037.83313798401,1037.85635234128,1
